1.000000, 0.000000
0.999974, 0.001257
0.999949, 0.002513
0.999923, 0.003770
0.999897, 0.005026
0.999871, 0.006283
0.999846, 0.007539
0.999820, 0.008796
0.999794, 0.010052
0.999768, 0.011309
0.999742, 0.012565
0.999715, 0.013822
0.999689, 0.015078
0.999662, 0.016335
0.999636, 0.017591
0.999609, 0.018847
0.999582, 0.020104
0.999555, 0.021360
0.999527, 0.022616
0.999500, 0.023873
0.999472, 0.025129
0.999444, 0.026385
0.999416, 0.027641
0.999387, 0.028897
0.999358, 0.030153
0.999329, 0.031409
0.999300, 0.032665
0.999270, 0.033921
0.999240, 0.035177
0.999210, 0.036433
0.999180, 0.037688
0.999149, 0.038944
0.999118, 0.040199
0.999086, 0.041455
0.999054, 0.042710
0.999022, 0.043966
0.998989, 0.045221
0.998956, 0.046476
0.998922, 0.047732
0.998888, 0.048987
0.998854, 0.050242
0.998819, 0.051497
0.998784, 0.052752
0.998748, 0.054006
0.998712, 0.055261
0.998675, 0.056516
0.998637, 0.057770
0.998600, 0.059025
0.998561, 0.060279
0.998522, 0.061533
0.998483, 0.062787
0.998443, 0.064041
0.998403, 0.065295
0.998361, 0.066549
0.998320, 0.067803
0.998277, 0.069057
0.998234, 0.070310
0.998191, 0.071563
0.998147, 0.072817
0.998102, 0.074070
0.998056, 0.075323
0.998010, 0.076576
0.997963, 0.077829
0.997915, 0.079081
0.997867, 0.080334
0.997818, 0.081587
0.997768, 0.082839
0.997718, 0.084091
0.997667, 0.085343
0.997615, 0.086595
0.997562, 0.087847
0.997508, 0.089098
0.997454, 0.090350
0.997399, 0.091601
0.997343, 0.092853
0.997286, 0.094104
0.997228, 0.095355
0.997170, 0.096605
0.997110, 0.097856
0.997050, 0.099106
0.996989, 0.100357
0.996927, 0.101607
0.996864, 0.102857
0.996800, 0.104107
0.996735, 0.105356
0.996669, 0.106606
0.996603, 0.107855
0.996535, 0.109104
0.996466, 0.110353
0.996397, 0.111602
